F_max,blas_threads,ceiling,cubic_gain,headroom,lambda,max_block,max_frac_of_p,n_blocks,n_over_p,oracle_F_max,p,regime,rtol,seed,support_f1,tol,true_n_blocks
1.0,8,1.0,1.0,0.0,0.13999999999999999,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.23529411764705885,1e-07,5
1.0,8,1.0,1.0,0.0,0.16,100,1.0,1,2,0.2,100,balanced,1e-05,2,0.3056179775280899,1e-07,5
0.99999671296276,8,1.0956826815299674,1.09567907998019,3.287037239951829e-06,0.18,97,0.97,4,2,0.2,100,balanced,1e-05,2,0.3905325443786982,1e-07,5
0.9999954788977553,8,1.1302806712962963,1.130275561181816,4.5211022446922655e-06,0.19999999999999998,96,0.96,5,2,0.2,100,balanced,1e-05,2,0.46886446886446886,1e-07,5
0.999975886045964,8,1.4185020901628298,1.4184678844686278,2.4113954036009133e-05,0.22,89,0.89,11,2,0.2,100,balanced,1e-05,2,0.5232067510548523,1e-07,5
0.999896518506254,8,1.8816764231589207,1.8814817044719057,0.0001034814937459494,0.24,81,0.81,16,2,0.2,100,balanced,1e-05,2,0.5961538461538461,1e-07,5
0.999818228007779,8,2.190422160062909,2.190024002663069,0.0001817719922210248,0.26,77,0.77,18,2,0.2,100,balanced,1e-05,2,0.6231155778894473,1e-07,5
0.9994229338598772,8,3.47830926343323,3.4763020489324274,0.0005770661401227617,0.28,66,0.66,24,2,0.2,100,balanced,1e-05,2,0.6521739130434782,1e-07,5
0.9987649793444143,8,5.39977212961613,5.3931032995005985,0.0012350206555856724,0.30000000000000004,57,0.57,28,2,0.2,100,balanced,1e-05,2,0.686046511627907,1e-07,5
0.9913566095603953,8,15.625,15.489947024381177,0.008643390439604715,0.32,40,0.4,38,2,0.2,100,balanced,1e-05,2,0.675,1e-07,5
0.9906481314316664,8,18.22423093745444,18.053800324968407,0.009351868568333588,0.34,38,0.38,43,2,0.2,100,balanced,1e-05,2,0.6363636363636364,1e-07,5
0.9657998037291462,8,50.80526342529086,49.06771344455348,0.0342001962708538,0.36000000000000004,27,0.27,47,2,0.2,100,balanced,1e-05,2,0.6442953020134229,1e-07,5
0.616629213483146,8,364.4314868804665,224.7191011235955,0.38337078651685397,0.38,14,0.14,50,2,0.2,100,balanced,1e-05,2,0.6575342465753425,1e-07,5
0.6996430392656807,8,364.4314868804665,254.97195308516064,0.3003569607343193,0.4,14,0.14,53,2,0.2,100,balanced,1e-05,2,0.6338028169014084,1e-07,5
0.605,8,751.3148009015778,454.54545454545456,0.395,0.42000000000000004,11,0.11,59,2,0.2,100,balanced,1e-05,2,0.6029411764705882,1e-07,5
0.6083180987202925,8,751.3148009015778,457.0383912248629,0.3916819012797075,0.44,11,0.11,61,2,0.2,100,balanced,1e-05,2,0.582089552238806,1e-07,5
0.6083180987202925,8,751.3148009015778,457.0383912248629,0.3916819012797075,0.46,11,0.11,61,2,0.2,100,balanced,1e-05,2,0.582089552238806,1e-07,5
